Ingredient,Flex,Suave naturals,Suave balsam and protein,Keri Fragance free,Waterbabies spf 15,Impruv lotion (Lacticare),Ivory soap,Keri original,Jean Naté,Colgate Toothpaste Sparkling White Baking Soda and Peroxide Mint Zing,Ultra Palmolive Oxy Power Degreaser
"1,1'-Oxydi-2-propanol",,,y,,,,,,,,
Aloe barbadensis leaf juice,,,,,,,,y,,,
Aloe extract,,,,,,,,,y,,
Aluminum starch octenylsuccinate,,,,,y,,,,,,
Ammonium C12-15 Pareth Sulfate,,,,,,,,,,,y
Ammonium chloride,,y,y,,,,,,,,
Ammonium laureth sulfate,,,y,,,,,,,,
Ammonium lauryl sulfate,,,y,,,,,,,,
Ammonium xylenesulfonate,,,y,,,,,,,,
Balsam Canada resin,y,,y,,,,,,,,
Benzophenone,,,y,,,,,,,,
Benzophenone-2,,,,,,,,,y,,
Benzyl alcohol,,,,y,y,,,,,,
Butylcarbamate,,,,,,,,y,,,
Calcium peroxide,,,,,,,,,,y,
Carbomer,,,,,y,,,y,,,
Carbomer 934,,,,y,,,,,,,
Carbomer 940,,,,,,y,,,,,
Carrageenan,,,,,,,,,,y,
Cellulose gum,,,,,,,,,,y,
Ceteareth 20,,,,,,y,,,,,
Cetyl alcohol,,,,y,,y,,,,,
Citric acid,y,y,y,,,,,,,,
Cocamide MEA,,y,y,,,,,,,,
Cocamidopropyl betaine,y,,,,,,,,,,
Coconut acid,,,,,,,y,,,,
DMDM hydantoin,,y,y,,,,,y,,,
Dimethicone,,,,y,y,,,,,,
Disodium EDTA,,,,,y,,,y,,,
Dyes,,,,,,,,,,,y
Flavor,,,,,,,,,,y,
Fragrance,y,y,y,,y,y,y,y,y,,y
Glycerin,,,,y,,,,y,,y,
Glycerol stearate,,,,,,,,y,,,
Glyceryl stearate,,,,,,y,,,,,
Glydant,,,,,,y,,,,,
Green #3,,,,,,,,,,y,
Green #5,,,,,,,,,y,,
Helianthus annus (sunflower seed) oil,,,,,,,,y,,,
Hydrated silica,,,,,,,,,,y,
Hydrolyzed silk,y,,,,,,,,,,
Hydrolyzed silk,y,,,,,,,,,,
Hydroxypropyl methylcellulose,,y,y,,,,,,,,
Iodopropynyl,,,,,,,,y,,,
Isopropyl palmitate,,,,,,y,,,,,
Lactic Acid,,,,,,y,,,,,
Lauramide Dea,y,,,,,,,,,,
Lauramidopropylamine oxide,,,,,,,,,,,y
Laureth 23,,,,y,,,,,,,
Laureth 4,,,,,,,,y,,,
Magnesium aluminum silicate,,,,y,,,,,,,
Magnesium sulfate,,,,,,,y,,,,y
Methylchloroisothiazolinone,,y,y,,,,,,,,
Methyldibromoglutaronitrile,,,y,,,,,,,,
Methylisothiazolinone,y,y,y,,,,,,,,
Methylparaben,y,,,,y,y,,y,,,
Mineral oil,,,,,,,,y,,,
Mineral oil (light),,,,,,y,,,,,
Myristyl alcohol,,,,,,y,,,,,
Myristyl lactate,,,,,,y,,,,,
PEG-100 stearate,,,,,,y,,,,,
PEG-4 dilaurate,,,,,,,,y,,,
PEG-40 hydrogenated castor oil,,,,,,,,,y,,
PEG-40 stearate,,,,,,,,y,,,
PEG-5 cocoamide,,,y,,,,,,,,
Palm acid,,,,,,,y,,,,
Palm kernel acid,,,,,,,y,,,,
Pentasodium pentatate,,,,,,,,,,,y
Pentasodium triphosphate,,,,,,,,,,y,
Petrolatum,,,,y,,,,,,,
Poloxamer 124,,,,,,,,,,,y
Polyglyceryl-3 distearate,,,,,y,,,,,,
Polypropylene glycol (PPG-9),,y,,,,,,,,,
Preservative,,,,,,,,,,,y
Propylene Glycol,y,,,,,,,,,y,
Propylparaben,y,,,,y,y,,y,,,
Quaternium 15,,,,y,,,,,,,
Red 33 (Ci 17200),y,y,y,,,,,,,,
Red 4 (Ci 14700),y,,,,,,,,,,
Retinyl palmitate,y,,,,,,,,y,,
SD Alcohol 3-A,,,,,,,,,,,y
SD alcohol 40-B,,,,,,,,,y,,
Sodium PCA,,,,,,y,,,,,
Sodium bicarbonate,,,,,,,,,,y,
Sodium bisulfite,,,,,,,,,,,y
Sodium chloride,y,,,,,,y,,,,y
Sodium cocoate,,,,,,,y,,,,
Sodium hydroxide,,,,y,,y,,y,,y,
Sodium laureth sulfate,y,y,,,,,,,,,
Sodium lauryl sulfate,y,,,,,,,,,y,
Sodium monofluorophosphate .76%,,,,,,,,,,y,
Sodium palm kernelate,,,,,,,y,,,,
Sodium palmate,,,,,,,y,,,,
Sodium saccharin,,,,,,,,,,y,
Sodium silicate,,,,,,,y,,,,
Sodium tallowate,,,,,,,y,,,,
Sorbitan isostearate,,,,,y,,,,,,
Sorbitol,,,,,y,,,,,,
"Soy protein, hydrolyzed",,,y,,,,,,,,
Steareth-2,,,,y,,,,,,,
Stearic acid,,,,,y,,,,,,
Stearyl alcohol,,,,,,y,,,,,
Tallow acid,,,,,,,y,,,,
Tetrasodium edta,y,y,y,,,,y,,,,
Tetrasodium pyrophosphate,,,,,,,,,,y,
Titanium dioxide,,,,,,,,,,y,
Tocopherol (Vitamin E),,,,,y,,,,,,
Tocopheryl Acetate (vitamin E acetate),y,y,,,,,,y,y,,
Triethanolamine,,,,,y,,,,,,
VP/eicosene copolymer,,,,,y,,,,,,
Yellow 5 (Ci 19140),y,,y,,,,,,y,,
Yellow 6 (Ci 15985),y,,,,,,,,,,
